name,2018-08-16,2018-09-20,2018-10-25,2018-11-29,2018-12-20,2019-02-08,2019-04-04,2019-07-25,2019-09-10,2019-09-11,2019-10-24,2019-11-28,2020-02-20,2020-03-24,2020-07-23,2020-09-17,2020-10-22,2020-11-27,2020-12-10,2021-02-03,2021-02-18,2021-06-15,2021-08-12,2021-10-20,2021-10-21,2021-11-19,2021-12-23,2022-02-10,2022-03-31,2022-06-06,2022-06-23,2022-09-20,2022-10-06,2023-01-09,2023-04-06,2023-06-29,2023-07-20
A. Samoa,908.0,908.0,908.0,908.0,908.0,908.0,908.0,900.0,900,900,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
Afghanistan,1068.0,1068.0,1068.0,1068.0,1068.0,1066.0,1057.0,1058.0,1058,1058,1054.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1045.0,1045.0,1045.0,1050.0,1050.0,1050.0,1050.0,1050.0,1023.0,1023.0,1023.0,1023.0,1023.0,1020.0,1020.0
Albania,1384.0,1383.0,1372.0,1372.0,1372.0,1372.0,1368.0,1362.0,1362,1362,1367.0,1356.0,1356.0,1356.0,1356.0,1351.0,1345.0,1360.0,1360.0,1360.0,1360.0,1362.0,1360.0,1369.0,1374.0,1375.0,1375.0,1375.0,1372.0,1372.0,1362.0,1362.0,1354.0,1353.0,1345.0,1357.0,1357.0
Algeria,1351.0,1343.0,1339.0,1347.0,1347.0,1349.0,1348.0,1463.0,1463,1463,1469.0,1482.0,1482.0,1482.0,1482.0,1482.0,1489.0,1488.0,1488.0,1488.0,1488.0,1487.0,1499.0,1499.0,1509.0,1509.0,1517.0,1461.0,1461.0,1461.0,1481.0,1481.0,1489.0,1487.0,1504.0,1511.0,1511.0
Andorra,1120.0,1121.0,1109.0,1111.0,1111.0,1111.0,1099.0,1082.0,1082,1082,1080.0,1082.0,1082.0,1082.0,1082.0,1076.0,1065.0,1048.0,1048.0,1048.0,1048.0,1035.0,1032.0,1033.0,1039.0,1030.0,1030.0,1030.0,1040.0,1040.0,1029.0,1029.0,1035.0,1031.0,1031.0,1022.0,1022.0
Angola,1096.0,1108.0,1113.0,1131.0,1131.0,1131.0,1142.0,1144.0,1144,1144,1161.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1134.0,1134.0,1134.0,1134.0,1136.0,1136.0,1118.0,1124.0,1132.0,1132.0,1132.0,1132.0,1132.0,1145.0,1149.0,1156.0,1159.0,1159.0,1171.0,1169.0
Anguilla,868.0,868.0,864.0,864.0,864.0,864.0,857.0,857.0,857,857,831.0,821.0,821.0,821.0,821.0,821.0,821.0,821.0,821.0,821.0,821.0,805.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,791.0,791.0,791.0,791.0,786.0,786.0,786.0
Antigua and B.,1132.0,1122.0,1126.0,1126.0,1126.0,1126.0,1136.0,1136.0,1136,1136,1129.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1129.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1117.0,1117.0,1117.0,1117.0,1108.0,1108.0,1108.0
Argentina,1574.0,1575.0,1573.0,1582.0,1582.0,1582.0,1580.0,1610.0,1610,1610,1617.0,1623.0,1623.0,1623.0,1623.0,1623.0,1636.0,1642.0,1642.0,1642.0,1642.0,1642.0,1714.0,1725.0,1739.0,1751.0,1751.0,1767.0,1765.0,1765.0,1771.0,1771.0,1774.0,1838.0,1841.0,1844.0,1844.0
Armenia,1227.0,1225.0,1222.0,1222.0,1222.0,1222.0,1206.0,1230.0,1230,1230,1226.0,1213.0,1213.0,1213.0,1213.0,1215.0,1215.0,1233.0,1233.0,1233.0,1233.0,1273.0,1274.0,1262.0,1257.0,1242.0,1242.0,1242.0,1245.0,1245.0,1242.0,1242.0,1234.0,1232.0,1224.0,1253.0,1253.0
Aruba,916.0,924.0,924.0,916.0,916.0,916.0,909.0,909.0,909,909,885.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,850.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,855.0,855.0,855.0,855.0,851.0,851.0,851.0
Australia,1431.0,1431.0,1432.0,1436.0,1436.0,1441.0,1441.0,1436.0,1436,1436,1450.0,1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1477.0,1494.0,1490.0,1485.0,1485.0,1487.0,1462.0,1462.0,1484.0,1484.0,1489.0,1534.0,1533.0,1530.0,1530.0
Austria,1502.0,1499.0,1502.0,1509.0,1509.0,1509.0,1479.0,1498.0,1498,1498,1520.0,1507.0,1507.0,1507.0,1507.0,1505.0,1523.0,1531.0,1531.0,1531.0,1531.0,1523.0,1535.0,1505.0,1501.0,1512.0,1512.0,1512.0,1500.0,1500.0,1502.0,1502.0,1493.0,1497.0,1508.0,1528.0,1528.0
Azerbaijan,1207.0,1202.0,1207.0,1206.0,1206.0,1206.0,1202.0,1188.0,1188,1188,1189.0,1177.0,1177.0,1177.0,1177.0,1179.0,1175.0,1180.0,1180.0,1180.0,1180.0,1169.0,1166.0,1158.0,1147.0,1139.0,1139.0,1139.0,1127.0,1127.0,1127.0,1127.0,1147.0,1152.0,1142.0,1143.0,1143.0
B. Virgin,872.0,872.0,867.0,867.0,867.0,867.0,867.0,867.0,867,867,854.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,826.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,809.0,809.0,809.0,809.0,804.0,804.0,804.0
