name,2018-08-16,2018-09-20,2018-10-25,2018-11-29,2018-12-20,2019-02-08,2019-04-04,2019-07-25,2019-09-10,2019-09-11,2019-10-24,2019-11-28,2020-02-20,2020-03-24,2020-07-23,2020-09-17,2020-10-22,2020-11-27,2020-12-10,2021-02-03,2021-02-18,2021-06-15,2021-08-12,2021-10-20,2021-10-21,2021-11-19,2021-12-23,2022-02-10,2022-03-31,2022-06-06,2022-06-23,2022-09-20,2022-10-06,2023-01-09,2023-04-06,2023-06-29,2023-07-20,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00
A. Samoa,908.0,908.0,908.0,908.0,908.0,908.0,908.0,900.0,900,900,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.1,909.4,907.0,908.5,908.8,906.3,905.9,898.6,900.4,898.5,900.0,899.6,900.7,899.4,899.5
Afghanistan,1068.0,1068.0,1068.0,1068.0,1068.0,1066.0,1057.0,1058.0,1058,1058,1054.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1045.0,1045.0,1045.0,1050.0,1050.0,1050.0,1050.0,1050.0,1023.0,1023.0,1023.0,1023.0,1023.0,1020.0,1020.0,1020.0,1063.9,1066.0,1064.9,1066.6,1065.8,1057.3,1058.4,1058.5,1058.4,1053.4,1052.4,1051.1,1051.1,1053.3
Albania,1384.0,1383.0,1372.0,1372.0,1372.0,1372.0,1368.0,1362.0,1362,1362,1367.0,1356.0,1356.0,1356.0,1356.0,1351.0,1345.0,1360.0,1360.0,1360.0,1360.0,1362.0,1360.0,1369.0,1374.0,1375.0,1375.0,1375.0,1372.0,1372.0,1362.0,1362.0,1354.0,1353.0,1345.0,1357.0,1357.0,1358.7,1375.5,1381.0,1365.7,1375.7,1368.4,1371.3,1362.0,1361.2,1362.7,1367.2,1359.3,1353.6,1356.0,1355.4
Algeria,1351.0,1343.0,1339.0,1347.0,1347.0,1349.0,1348.0,1463.0,1463,1463,1469.0,1482.0,1482.0,1482.0,1482.0,1482.0,1489.0,1488.0,1488.0,1488.0,1488.0,1487.0,1499.0,1499.0,1509.0,1509.0,1517.0,1461.0,1461.0,1461.0,1481.0,1481.0,1489.0,1487.0,1504.0,1511.0,1511.0,1510.8,1351.6,1339.5,1347.8,1346.7,1350.8,1347.3,1462.8,1462.7,1462.3,1470.6,1482.5,1480.7,1483.0,1481.7
Andorra,1120.0,1121.0,1109.0,1111.0,1111.0,1111.0,1099.0,1082.0,1082,1082,1080.0,1082.0,1082.0,1082.0,1082.0,1076.0,1065.0,1048.0,1048.0,1048.0,1048.0,1035.0,1032.0,1033.0,1039.0,1030.0,1030.0,1030.0,1040.0,1040.0,1029.0,1029.0,1035.0,1031.0,1031.0,1022.0,1022.0,1022.5,1160.0,1104.5,1110.8,1111.9,1111.2,1100.2,1080.5,1081.8,1080.7,1080.6,1081.1,1084.5,1083.0,1080.7
Angola,1096.0,1108.0,1113.0,1131.0,1131.0,1131.0,1142.0,1144.0,1144,1144,1161.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1134.0,1134.0,1134.0,1134.0,1136.0,1136.0,1118.0,1124.0,1132.0,1132.0,1132.0,1132.0,1132.0,1145.0,1149.0,1156.0,1159.0,1159.0,1171.0,1169.0,1170.6,1111.5,1117.7,1131.4,1132.0,1131.5,1138.7,1140.8,1142.0,1142.3,1155.9,1135.8,1139.4,1135.7,1136.3
Anguilla,868.0,868.0,864.0,864.0,864.0,864.0,857.0,857.0,857,857,831.0,821.0,821.0,821.0,821.0,821.0,821.0,821.0,821.0,821.0,821.0,805.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,791.0,791.0,791.0,791.0,786.0,786.0,786.0,785.9,895.8,864.2,862.9,863.4,862.4,855.9,856.1,856.7,856.5,829.7,821.4,820.0,820.0,821.0
Antigua and B.,1132.0,1122.0,1126.0,1126.0,1126.0,1126.0,1136.0,1136.0,1136,1136,1129.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1129.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1117.0,1117.0,1117.0,1117.0,1108.0,1108.0,1108.0,1108.5,1118.8,1127.6,1126.7,1125.6,1125.4,1135.6,1136.8,1137.8,1135.5,1128.8,1126.6,1127.1,1128.5,1128.3
Argentina,1574.0,1575.0,1573.0,1582.0,1582.0,1582.0,1580.0,1610.0,1610,1610,1617.0,1623.0,1623.0,1623.0,1623.0,1623.0,1636.0,1642.0,1642.0,1642.0,1642.0,1642.0,1714.0,1725.0,1739.0,1751.0,1751.0,1767.0,1765.0,1765.0,1771.0,1771.0,1774.0,1838.0,1841.0,1844.0,1844.0,1850.5,1543.5,1573.4,1564.2,1595.0,1574.2,1587.5,1602.3,1614.1,1607.7,1620.0,1619.6,1624.9,1621.4,1623.1
Armenia,1227.0,1225.0,1222.0,1222.0,1222.0,1222.0,1206.0,1230.0,1230,1230,1226.0,1213.0,1213.0,1213.0,1213.0,1215.0,1215.0,1233.0,1233.0,1233.0,1233.0,1273.0,1274.0,1262.0,1257.0,1242.0,1242.0,1242.0,1245.0,1245.0,1242.0,1242.0,1234.0,1232.0,1224.0,1253.0,1253.0,1250.3,1227.2,1223.4,1225.3,1224.4,1223.4,1211.2,1232.4,1231.5,1230.1,1227.0,1217.1,1218.2,1216.4,1219.0
